ProductID, Symbol                , ExchangeID, Bloomberg code,Name
4663812, DEO                   , XNAS     ,DEO UN EQUITY     ,DIAGEO PLC-SPONSORED ADR
4663813, MMM                   , XNAS     ,MMM UN EQUITY     ,3M CO
4663814, SAN , XMAD     ,SAN SM EQUITY     ,BANCO SANTANDER SA
4663815, ANZ                   , XASX     ,ANZ AU EQUITY     ,AUST AND NZ BANKING GROUP
4663816, SAN                   , XNAS     ,SAN UN EQUITY     ,BANCO SANTANDER SA-SPON ADR
4663817, XAMXL                 , XMAD     ,XAMXL SM EQUITY   ,AMERICA MOVIL SAB DE C-SER L
4663818, AMX                   , XNAS     ,AMX UN EQUITY     ,AMERICA MOVIL-ADR SERIES L
4663819, MO                    , XNAS     ,MO UN EQUITY      ,ALTRIA GROUP INC
4663820,7267, XTKS     ,7267 JT EQUITY    ,HONDA MOTOR CO LTD
4663821, OXY                   , XNAS     ,OXY UN EQUITY     ,OCCIDENTAL PETROLEUM CORP
4663822, BBD                   , XNAS     ,BBD UN EQUITY     ,BANCO BRADESCO-ADR
4663823, NAB                   , XASX     ,NAB AU EQUITY     ,NATIONAL AUSTRALIA BANK LTD
4663824, STO                   , XNAS     ,STO UN EQUITY     ,STATOIL ASA-SPON ADR
4663825, CVS                   , XNAS     ,CVS UN EQUITY     ,CVS CAREMARK CORP
4663826, STATOIL , XOSL     ,STL NO EQUITY     ,STATOIL ASA
4663827, ALV , XETR     ,ALV GY EQUITY     ,ALLIANZ SE-REG
4663828,9432, XTKS     ,9432 JT EQUITY    ,NIPPON TELEGRAPH & TELEPHONE
4663829, UBSN , XVTX     ,UBSN VX EQUITY    ,UBS AG-REG
4663830, DCM                   , XNAS     ,DCM UN EQUITY     ,NTT DOCOMO INC-SPON ADR
4663831,9437, XTKS     ,9437 JT EQUITY    ,NTT DOCOMO INC
4663832, DAI , XETR     ,DAI GY EQUITY     ,DAIMLER AG-REGISTERED SHARES
4663833, LYG                   , XNAS     ,LYG UN EQUITY     ,LLOYDS BANKING GROUP PLC-ADR
4663834,9984, XTKS     ,9984 JT EQUITY    ,SOFTBANK CORP
4663835, AZN                   , XNAS     ,AZN UN EQUITY     ,ASTRAZENECA PLC-SPONS ADR
4663836, AZN , XSTO     ,AZN SS EQUITY     ,ASTRAZENECA PLC
4663837, TEF , XMAD     ,TEF SM EQUITY     ,TELEFONICA SA
4663838, TEF                   , XNAS     ,TEF UN EQUITY     ,TELEFONICA SA-SPON ADR
4663839, BCS                   , XNAS     ,BCS UN EQUITY     ,BARCLAYS PLC-SPONS ADR
4663840, HON                   , XNAS     ,HON UN EQUITY     ,HONEYWELL INTERNATIONAL INC
4663841, LLY                   , XNAS     ,LLY UN EQUITY     ,ELI LILLY & CO
4663842, SMFG                  , XNAS     ,SMFG UN EQUITY    ,SUMITOMO MITSUI-SPONS ADR
4663843,8316, XTKS     ,8316 JT EQUITY    ,SUMITOMO MITSUI FINANCIAL GR
4663844, TLS                   , XASX     ,TLS AU EQUITY     ,TELSTRA CORP LTD
4663845, BMW3 , XETR     ,BMW3 GY EQUITY    ,BAYERISCHE MOTOREN WERKE-PRF
4663846, BMW , XETR     ,BMW GY EQUITY     ,BAYERISCHE MOTOREN WERKE AG
4663847, HMB , XSTO     ,HMB SS EQUITY     ,HENNES & MAURITZ AB-B SHS
4663848, ABT                   , XNAS     ,ABT UN EQUITY     ,ABBOTT LABORATORIES
4663849, VWO                   , ARCX     ,VWO UP EQUITY     ,VANGUARD FTSE EMERGING MARKE
4663850, RBS                   , XNAS     ,RBS UN EQUITY     ,ROYAL BANK OF SCOT-SPON ADR
4663851, EPD                   , XNAS     ,EPD UN EQUITY     ,ENTERPRISE PRODUCTS PARTNERS
4663852, CAT                   , XNAS     ,CAT UN EQUITY     ,CATERPILLAR INC
4663853, F                     , XNAS     ,F UN EQUITY       ,FORD MOTOR CO
4663854, TWX                   , XNAS     ,TWX UN EQUITY     ,TIME WARNER INC
4663855, MON                   , XNAS     ,MON UN EQUITY     ,MONSANTO CO
4663856,7201, XTKS     ,7201 JT EQUITY    ,NISSAN MOTOR CO LTD
4663858, MDT                   , XNAS     ,MDT UN EQUITY     ,MEDTRONIC INC
4663859, DTE , XETR     ,DTE GY EQUITY     ,DEUTSCHE TELEKOM AG-REG
4663860, BBVA , XMAD     ,BBVA SM EQUITY    ,BANCO BILBAO VIZCAYA ARGENTA
4663861, ABBN , XVTX     ,ABBN VX EQUITY    ,ABB LTD-REG
4663862, ABB , XSTO     ,ABB SS EQUITY     ,ABB LTD-REG
4663863, ABB                   , XNAS     ,ABB UN EQUITY     ,ABB LTD-SPON ADR
4663864, DD                    , XNAS     ,DD UN EQUITY      ,DU PONT (E.I.) DE NEMOURS
4663865, BBVA                  , XNAS     ,BBVA UN EQUITY    ,BANCO BILBAO VIZCAYA-SP ADR
4663866, SGT                   , XASX     ,SGT AU EQUITY     ,SINGAP0RE TELECOMM-CDI
4663867,7751, XTKS     ,7751 JT EQUITY    ,CANON INC
4663868,8411, XTKS     ,8411 JT EQUITY    ,MIZUHO FINANCIAL GROUP INC
4663869, Z74                   , XSES     ,ST SP EQUITY      ,SINGAPORE TELECOMMUNICATIONS
4663870, CAJ                   , XNAS     ,CAJ UN EQUITY     ,CANON INC-SPONS ADR
4663871, NDA , XSTO     ,NDA SS EQUITY     ,NORDEA BANK AB
4663872, NDA DKK               , XCSE     ,NDA DC EQUITY     ,NORDEA BANK AB
4663873, NDA1V                 , XHEL     ,NDA1V FH EQUITY   ,NORDEA BANK AB - FDR
4663874, DUK                   , XNAS     ,DUK UN EQUITY     ,DUKE ENERGY CORP
4663875, DBK , XETR     ,DBK GY EQUITY     ,DEUTSCHE BANK AG-REGISTERED
4663876, WES                   , XASX     ,WES AU EQUITY     ,WESFARMERS LTD
4663877, MET                   , XNAS     ,MET UN EQUITY     ,METLIFE INC
4663878, CS                    , XNAS     ,CS UN EQUITY      ,CREDIT SUISSE GROUP-SPON ADR
4663879, NGG                   , XNAS     ,NGG UN EQUITY     ,NATIONAL GRID PLC-SP ADR
4663880, CSGN , XVTX     ,CSGN VX EQUITY    ,CREDIT SUISSE GROUP AG-REG
4663881, GLD                   , ARCX     ,GLD UP EQUITY     ,SPDR GOLD SHARES
4663882, GM                    , XNAS     ,GM UN EQUITY      ,GENERAL MOTORS CO
4663883, PUK                   , XNAS     ,PUK UN EQUITY     ,PRUDENTIAL PLC-ADR
4663884, J37                   , XSES     ,JS SP EQUITY      ,JARDINE STRATEGIC HLDGS LTD
4663885, APC                   , XNAS     ,APC UN EQUITY     ,ANADARKO PETROLEUM CORP
4663886, J36                   , XSES     ,JM SP EQUITY      ,JARDINE MATHESON HLDGS LTD
4663887, EEM                   , ARCX     ,EEM UP EQUITY     ,ISHARES MSCI EMERGING MARKET
4663888, TGT                   , XNAS     ,TGT UN EQUITY     ,TARGET CORP
4663889,9433, XTKS     ,9433 JT EQUITY    ,KDDI CORP
4663890, IVV                   , ARCX     ,IVV UP EQUITY     ,ISHARES CORE S&P 500 ETF
4663891, DHR                   , XNAS     ,DHR UN EQUITY     ,DANAHER CORP
4663892, EFA                   , ARCX     ,EFA UP EQUITY     ,ISHARES MSCI EAFE ETF
4663893, PCLN                  , XNYS     ,PCLN UW EQUITY    ,PRICELINE.COM INC
4663894, EMR                   , XNAS     ,EMR UN EQUITY     ,EMERSON ELECTRIC CO
4663895, WOW                   , XASX     ,WOW AU EQUITY     ,WOOLWORTHS LTD
4663896, HAL                   , XNAS     ,HAL UN EQUITY     ,HALLIBURTON CO
4663897,9983, XTKS     ,9983 JT EQUITY    ,FAST RETAILING CO LTD
4663898,6902, XTKS     ,6902 JT EQUITY    ,DENSO CORP
4663899, TXN , XNYS     ,TXN UW EQUITY     ,TEXAS INSTRUMENTS INC
4663900, SO                    , XNAS     ,SO UN EQUITY      ,SOUTHERN CO/THE
4663901, ZURN , XVTX     ,ZURN VX EQUITY    ,ZURICH INSURANCE GROUP AG
4663902, HEN3 , XETR     ,HEN3 GY EQUITY    ,HENKEL AG & CO KGAA VORZUG
4663903, HEN , XETR     ,HEN GY EQUITY     ,HENKEL AG & CO KGAA
4663904, ERICB , XSTO     ,ERICB SS EQUITY   ,ERICSSON LM-B SHS
4663905, ERICSSON A ,,ERICA SS EQUITY   ,ERICSSON LM-A SHS
